Size,Prob,Run Number,moves,cost,Total Deaths,Deaths by Pit,Death by Wumpus,Domesticated Wumpi,Cells Explored
5,0.12,0,3,-1004,1,1,0,0,0
5,0.12,1,3,-1003,1,1,0,0,0
5,0.12,2,3,-1003,1,1,0,0,0
5,0.12,3,3,-1003,1,1,0,0,0
5,0.12,4,3,-1003,1,1,0,0,0
5,0.12,5,3,-1003,1,1,0,0,0
5,0.12,6,3,-1003,1,1,0,0,0
5,0.12,7,3,-1003,1,1,0,0,0
5,0.12,8,3,-1003,1,1,0,0,0
5,0.12,9,3,-1003,1,1,0,0,0
5,0.12,0,21,-3028,4,2,2,1,9
5,0.12,1,11,-1010,2,1,1,1,3
5,0.12,2,12,-1015,2,1,1,1,5
5,0.12,3,32,-5037,6,3,3,3,13
5,0.12,4,23,-2032,3,2,1,1,13
5,0.12,5,28,-4040,5,2,3,1,13
5,0.12,6,10,-1011,2,1,1,1,3
5,0.12,7,32,-5039,6,3,3,3,13
5,0.12,8,28,-4038,5,2,3,2,13
5,0.12,9,11,-1010,2,1,1,1,3
5,0.12,0,34,-3050,4,2,2,2,20
5,0.12,1,47,-5071,6,3,3,3,28
5,0.12,2,162,-4349,5,2,3,3,144
5,0.12,3,84,-3162,4,2,2,2,70
5,0.12,4,90,-3194,4,2,2,2,76
5,0.12,5,50,-3088,4,2,2,2,36
5,0.12,6,56,-4104,5,3,2,2,40
5,0.12,7,43,-3070,4,2,2,2,28
5,0.12,8,33,-3047,4,2,2,2,18
5,0.12,9,66,-5108,6,3,3,3,46
5,0.12,0,24,-2038,3,2,1,0,14
5,0.12,1,8,-10,1,0,1,0,4
5,0.12,2,12,-1016,2,1,1,0,6
5,0.12,3,6,993,0,0,0,0,4
5,0.12,4,20,-2028,3,1,2,0,10
5,0.12,5,6,992,0,0,0,0,4
5,0.12,6,10,-1014,2,1,1,0,4
5,0.12,7,20,-1031,2,1,1,0,12
5,0.12,8,49,-3086,4,2,2,1,36
5,0.12,9,37,-2064,3,2,1,1,26
5,0.077,0,20,-2027,3,1,2,1,10
5,0.077,1,32,-2050,3,1,2,1,22
5,0.077,2,26,-2037,3,1,2,1,16
5,0.077,3,22,-2029,3,1,2,1,12
5,0.077,4,58,-2109,3,1,2,2,46
5,0.077,5,30,-3039,4,2,2,2,16
5,0.077,6,27,-2036,3,1,2,1,16
5,0.077,7,29,-2044,3,1,2,1,18
5,0.077,8,26,-2035,3,1,2,1,16
5,0.077,9,25,-2034,3,1,2,1,14
5,0.077,0,31,-2045,3,2,1,1,20
5,0.077,1,25,-2035,3,1,2,0,16
5,0.077,2,12,-1017,2,1,1,0,6
5,0.077,3,48,-3076,4,2,2,2,34
5,0.077,4,14,-20,1,1,0,0,10
5,0.077,5,9,-12,1,1,0,0,4
5,0.077,6,35,-2056,3,2,1,1,24
5,0.077,7,16,-1021,2,1,1,0,10
5,0.077,8,8,-9,1,0,1,0,4
5,0.077,9,20,-30,1,1,0,0,14
5,0.077,0,40,-3067,4,2,2,2,27
5,0.077,1,20,-1027,2,1,1,0,13
5,0.077,2,28,-2045,3,2,1,1,17
5,0.077,3,22,-37,1,0,1,0,17
5,0.077,4,16,975,0,0,0,0,13
5,0.077,5,17,-1026,2,1,1,0,9
5,0.077,6,28,-1042,2,1,1,1,19
5,0.077,7,20,-34,1,0,1,0,15
5,0.077,8,18,-25,1,1,0,0,13
5,0.077,9,24,-1038,2,1,1,0,17
5,0.077,0,2,998,0,0,0,0,0
5,0.077,1,2,998,0,0,0,0,0
5,0.077,2,6,992,0,0,0,0,2
5,0.077,3,2,998,0,0,0,0,0
5,0.077,4,2,998,0,0,0,0,0
5,0.077,5,2,998,0,0,0,0,0
5,0.077,6,2,998,0,0,0,0,0
5,0.077,7,6,992,0,0,0,0,2
5,0.077,8,6,992,0,0,0,0,2
5,0.077,9,6,990,0,0,0,0,2
5,0.077,0,29,-2039,3,1,2,2,18
5,0.077,1,11,-16,1,1,0,0,6
5,0.077,2,32,-2048,3,1,2,2,20
5,0.077,3,4,994,0,0,0,0,2
5,0.077,4,4,995,0,0,0,0,2
5,0.077,5,26,-2033,3,1,2,2,14
5,0.077,6,9,-12,1,0,1,0,4
5,0.077,7,6,-7,1,1,0,0,2
5,0.077,8,4,995,0,0,0,0,2
5,0.077,9,6,-7,1,1,0,0,2
5,0.153,0,22,-4027,5,3,2,2,7
5,0.153,1,28,-5034,6,3,3,3,9
5,0.153,2,24,-5030,6,3,3,2,7
5,0.153,3,25,-5031,6,3,3,2,7
5,0.153,4,23,-5025,6,3,3,2,7
5,0.153,5,28,-5032,6,3,3,3,9
5,0.153,6,22,-4029,5,3,2,2,7
5,0.153,7,24,-5025,6,3,3,3,7
5,0.153,8,21,-4024,5,3,2,2,7
5,0.153,9,22,-4023,5,3,2,2,7
5,0.153,0,51,-7073,8,4,4,4,26
5,0.153,1,67,-7117,8,4,4,4,42
5,0.153,2,123,-7247,8,4,4,4,98
5,0.153,3,61,-7099,8,4,4,4,36
5,0.153,4,133,-7279,8,4,4,4,108
5,0.153,5,53,-6084,7,3,4,4,30
5,0.153,6,49,-7073,8,4,4,4,24
5,0.153,7,57,-7087,8,4,4,4,32
5,0.153,8,75,-7129,8,4,4,4,50
5,0.153,9,77,-7135,8,4,4,4,52
5,0.153,0,2,-3,0,0,0,0,0
5,0.153,1,2,-3,0,0,0,0,0
5,0.153,2,2,-3,0,0,0,0,0
5,0.153,3,2,-3,0,0,0,0,0
5,0.153,4,2,-4,0,0,0,0,0
5,0.153,5,2,-4,0,0,0,0,0
5,0.153,6,2,-3,0,0,0,0,0
5,0.153,7,2,-3,0,0,0,0,0
5,0.153,8,2,-4,0,0,0,0,0
5,0.153,9,2,-3,0,0,0,0,0
5,0.153,0,29,-5035,6,3,3,3,9
5,0.153,1,33,-5039,6,3,3,3,13
5,0.153,2,32,-6039,7,4,3,3,11
5,0.153,3,33,-6042,7,4,3,3,11
5,0.153,4,33,-6046,7,4,3,3,11
5,0.153,5,28,-5034,6,3,3,3,9
5,0.153,6,39,-6058,7,4,3,3,17
5,0.153,7,29,-5039,6,3,3,3,9
5,0.153,8,34,-6045,7,4,3,3,13
5,0.153,9,36,-6049,7,4,3,3,15
