Size,Prob,Run Number,moves,cost,Total Deaths,Deaths by Pit,Death by Wumpus,Domesticated Wumpi,Cells Explored,,
25,0.006,0,143,761,0,0,0,0,130,761,1
25,0.006,1,37,944,0,0,0,0,32,944,1
25,0.006,2,198,-340,1,0,1,0,140,660,1
25,0.006,3,1070,-8935,8,4,4,2,557,-935,1
25,0.006,4,445,-4761,5,3,2,0,324,239,1
25,0.006,5,25,964,0,0,0,0,23,964,1
25,0.006,6,812,-5442,5,3,2,1,457,-442,1
25,0.006,7,520,-1922,2,0,2,1,324,78,1
25,0.006,8,238,-1399,2,1,1,0,193,601,1
25,0.006,9,552,-4939,5,3,2,1,383,61,1
25,0.006,0,646,-6123,6,4,2,1,398,-123,1
25,0.006,1,537,-4966,5,4,1,0,295,34,1
25,0.006,2,91,856,0,0,0,0,84,856,1
25,0.006,3,1153,-9053,8,4,4,3,528,-1053,1
25,0.006,4,499,-3848,4,1,3,1,340,152,1
25,0.006,5,671,-3208,3,2,1,1,348,-208,1
25,0.006,6,1076,-8945,8,4,4,4,545,-945,1
25,0.006,7,247,-2428,3,3,0,0,159,572,1
25,0.006,8,2355,-11477,8,4,4,3,556,-3477,1
25,0.006,9,209,-1354,2,1,1,1,175,646,1
25,0.006,0,474,-3820,4,2,2,0,285,180,1
25,0.006,1,671,-3232,3,1,2,0,222,-232,1
25,0.006,2,740,-7310,7,4,3,2,409,-310,1
25,0.006,3,408,-4681,5,2,3,1,314,319,1
25,0.006,4,1020,-6866,6,4,2,1,402,-866,1
25,0.006,5,149,-2238,3,2,1,0,130,762,1
25,0.006,6,302,-1496,2,2,0,0,264,504,1
25,0.006,7,375,-3679,4,1,3,0,207,321,1
25,0.006,8,1863,-10497,8,4,4,2,538,-2497,0
25,0.006,9,628,-5100,5,3,2,1,360,-100,1
25,0.006,0,513,-5885,6,4,2,0,384,115,1
25,0.006,1,444,-4789,5,2,3,2,252,211,1
25,0.006,2,450,-4756,5,1,4,2,344,244,1
25,0.006,3,171,-2287,3,2,1,0,126,713,1
25,0.006,4,53,-77,1,1,0,0,46,923,1
25,0.006,5,193,-313,1,0,1,0,173,687,1
25,0.006,6,383,-3625,4,2,2,1,301,375,1
25,0.006,7,761,-8355,8,4,4,2,434,-355,1
25,0.006,8,420,-3730,4,1,3,0,296,270,1
25,0.006,9,69,-1108,2,1,1,0,56,892,1
25,0.006,0,153,-1246,2,2,0,0,124,754,1
25,0.006,1,1431,-9662,8,4,4,1,540,-1662,0
25,0.006,2,338,-642,1,1,0,0,127,358,1
25,0.006,3,255,-2422,3,1,2,0,203,578,1
25,0.006,4,1170,-7134,6,4,2,2,496,-1134,1
25,0.006,5,561,-6965,7,3,4,0,385,35,1
25,0.006,6,180,-2302,3,1,2,1,154,698,1
25,0.006,7,187,-307,1,1,0,0,127,693,1
25,0.006,8,474,-5783,6,3,3,2,336,217,1
25,0.006,9,620,-7113,7,4,3,1,349,-113,1
25,0.083,0,14,-21,1,0,1,0,6,979,1
25,0.083,1,17,-25,1,1,0,0,9,975,1
25,0.083,2,21,-33,1,1,0,0,8,967,1
25,0.083,3,156,-15253,16,9,7,4,55,747,1
25,0.083,4,45,-1095,2,1,1,1,8,905,1
25,0.083,5,31,-1054,2,1,1,1,12,946,1
25,0.083,6,1791,-100434,98,47,51,35,261,-2434,0
25,0.083,7,13,979,0,0,0,0,8,979,1
25,0.083,8,73,-6116,7,4,3,3,30,884,1
25,0.083,9,17,-1024,2,1,1,0,8,976,1
25,0.083,0,914,-68611,68,40,28,28,185,-611,1
25,0.083,1,176,-18278,19,8,11,8,50,722,1
25,0.083,2,3787,-96600,90,47,43,41,271,-6600,0
25,0.083,3,199,-28299,29,13,16,8,54,701,1
25,0.083,4,215,-23353,24,12,12,10,67,647,1
25,0.083,5,85,-7125,8,3,5,2,38,875,1
25,0.083,6,534,-45922,46,23,23,13,122,78,1
25,0.083,7,593,-44046,44,20,24,20,183,-46,1
25,0.083,8,2892,-102611,98,51,47,47,304,-4611,0
25,0.083,9,2356,-82540,79,41,38,31,257,-3540,0
25,0.083,0,14,-23,1,1,0,0,4,977,1
25,0.083,1,27,-3048,4,1,3,3,9,952,1
25,0.083,2,30,-4053,5,1,4,2,8,947,1
