Size,Prob,Run Number,moves,cost,Total Deaths,Deaths by Pit,Death by Wumpus,Domesticated Wumpi,Cells Explored,Gold Found
15,0.012,0,10,985,0,0,0,0,8,1
15,0.012,1,27,955,0,0,0,0,24,1
15,0.012,2,18,973,0,0,0,0,16,1
15,0.012,3,83,-2129,3,1,2,0,55,1
15,0.012,4,324,-4568,5,3,2,0,166,1
15,0.012,5,105,-1167,2,1,1,0,86,1
15,0.012,6,113,-2184,3,2,1,0,88,1
15,0.012,7,18,970,0,0,0,0,16,1
15,0.012,8,322,-4604,5,2,3,3,143,1
15,0.012,9,127,-2205,3,1,2,0,98,1
15,0.012,0,854,-6660,6,3,3,3,197,0
15,0.012,1,566,-5057,5,2,3,1,193,0
15,0.012,2,84,-1135,2,0,2,0,72,1
15,0.012,3,71,-2113,3,1,2,0,49,1
15,0.012,4,150,-2241,3,2,1,0,101,1
15,0.012,5,135,-4211,5,2,3,2,92,1
15,0.012,6,116,-1185,2,1,1,0,95,1
15,0.012,7,85,-3133,4,2,2,0,62,1
15,0.012,8,327,-3576,4,1,3,3,145,1
15,0.012,9,242,-5421,6,3,3,1,113,1
15,0.012,0,308,-3575,4,2,2,1,129,1
15,0.012,1,291,-4534,5,3,2,2,115,1
15,0.012,2,81,-2125,3,2,1,1,60,1
15,0.012,3,659,-5226,5,3,2,2,178,0
15,0.012,4,8,990,0,0,0,0,5,1
15,0.012,5,70,-3109,4,2,2,0,47,1
15,0.012,6,14,-21,1,0,1,1,8,1
15,0.012,7,16,-23,1,0,1,0,11,1
15,0.012,8,420,-3753,4,2,2,1,159,1
15,0.012,9,162,-4276,5,2,3,1,91,1
15,0.012,0,367,-5650,6,3,3,1,176,1
15,0.012,1,303,-5541,6,3,3,2,147,1
15,0.012,2,320,-4547,5,3,2,0,183,1
15,0.012,3,189,-3292,4,3,1,0,148,1
15,0.012,4,211,-5353,6,3,3,0,145,1
15,0.012,5,123,-1216,2,1,1,0,76,1
15,0.012,6,73,-113,1,0,1,0,62,1
15,0.012,7,115,-1187,2,0,2,0,96,1
15,0.012,8,265,-5444,6,3,3,3,158,1
15,0.012,9,146,-2235,3,1,2,1,106,1
15,0.012,0,167,-2293,3,2,1,1,116,1
15,0.012,1,49,-76,1,1,0,0,42,1
15,0.012,2,121,-186,1,1,0,0,96,1
15,0.012,3,272,-4473,5,3,2,1,167,1
15,0.012,4,290,-3499,4,2,2,1,173,1
15,0.012,5,110,-185,1,1,0,0,92,1
15,0.012,6,81,-124,1,1,0,0,72,1
15,0.012,7,145,-4241,5,2,3,2,111,1
15,0.012,8,39,-54,1,0,1,0,33,1
15,0.012,9,184,-5303,6,3,3,0,144,1
15,0.083,0,19,-1027,2,2,0,0,6,1
15,0.083,1,121,-15184,16,6,10,4,27,1
15,0.083,2,24,-3034,4,3,1,0,6,1
15,0.083,3,19,-1030,2,2,0,0,6,1
15,0.083,4,341,-29582,30,17,13,10,74,1
15,0.083,5,221,-24353,25,14,11,4,65,1
15,0.083,6,687,-35292,35,18,17,14,101,0
15,0.083,7,14,-1020,2,1,1,0,5,1
15,0.083,8,33,-4048,5,4,1,0,6,1
15,0.083,9,94,-10150,11,7,4,2,23,1
15,0.083,0,251,-27401,28,14,14,6,69,1
15,0.083,1,84,-11129,12,8,4,1,24,1
15,0.083,2,173,-13289,14,4,10,3,52,1
15,0.083,3,547,-15108,15,8,7,5,44,0
15,0.083,4,62,-8089,9,5,4,1,17,1
15,0.083,5,198,-20313,21,11,10,2,62,1
15,0.083,6,383,-26665,27,13,14,9,75,1
15,0.083,7,1957,-41999,39,20,19,17,113,0
15,0.083,8,41,-2062,3,2,1,0,16,1
15,0.083,9,89,-7151,8,3,5,0,25,1
15,0.083,0,214,-13375,14,10,4,0,68,1
15,0.083,1,533,-33994,34,17,17,13,92,1
15,0.083,2,610,-34124,34,17,17,13,104,0
15,0.083,3,62,-7093,8,3,5,1,27,1
15,0.083,4,136,-12228,13,6,7,1,46,1
15,0.083,5,41,-2061,3,1,2,2,23,1
15,0.083,6,169,-11278,12,7,5,3,56,1
15,0.083,7,399,-31683,32,17,15,8,97,1
15,0.083,8,155,-15245,16,10,6,2,50,1
15,0.083,9,46,-4067,5,1,4,2,18,1
15,0.083,0,313,-25565,26,13,13,7,67,1
15,0.083,1,248,-17433,18,8,10,6,52,1
15,0.083,2,380,-29673,30,15,15,9,80,1
15,0.083,3,280,-19461,20,10,10,3,70,1
15,0.083,4,211,-17348,18,9,9,6,66,1
15,0.083,5,184,-26280,27,15,12,5,53,1
15,0.083,6,226,-18368,19,9,10,4,76,1
15,0.083,7,302,-25519,26,14,12,6,73,1
15,0.083,8,72,-5122,6,2,4,1,32,1
15,0.083,9,97,-8157,9,6,3,2,43,1
15,0.083,0,489,-32908,33,16,17,12,91,1
15,0.083,1,176,-14297,15,8,7,3,60,1
15,0.083,2,82,-12115,13,5,8,2,30,1
15,0.083,3,317,-24558,25,11,14,9,70,1
15,0.083,4,95,-12142,13,5,8,3,34,1
15,0.083,5,302,-25536,26,12,14,5,59,1
15,0.083,6,75,-5121,6,2,4,0,37,1
15,0.083,7,167,-19275,20,10,10,5,59,1
15,0.083,8,226,-24361,25,11,14,7,67,1
15,0.083,9,179,-12318,13,4,9,4,49,1
15,0.165,0,354,-37648,38,20,18,11,33,1
15,0.165,1,101,-17155,18,8,10,4,24,1
15,0.165,2,134,-18227,19,8,11,7,16,1
15,0.165,3,135,-26198,27,11,16,12,19,1
15,0.165,4,120,-16193,17,10,7,4,19,1
15,0.165,5,63,-12096,13,3,10,7,11,1
15,0.165,6,117,-12208,13,7,6,5,19,1
15,0.165,7,171,-18299,19,10,9,4,14,1
15,0.165,8,66,-13104,14,5,9,5,11,1
15,0.165,9,196,-19356,20,7,13,9,16,1
15,0.165,0,24,-2032,3,2,1,0,5,1
15,0.165,1,562,-44107,44,20,24,18,29,0
15,0.165,2,768,-52503,52,24,28,20,38,0
15,0.165,3,3057,-69422,64,34,30,26,51,0
15,0.165,4,91,-10152,11,5,6,4,11,1
