Size,Prob,Run Number,moves,cost,Total Deaths,Deaths by Pit,Death by Wumpus,Domesticated Wumpi,Cells Explored
20,0.009,0,345,-3595,4,1,3,0,240
20,0.009,1,132,-4198,5,3,2,1,102
20,0.009,2,171,-4267,5,3,2,0,132
20,0.009,3,210,-5350,6,2,4,1,145
20,0.009,4,110,-2194,3,2,1,0,66
20,0.009,5,1606,-10059,8,4,4,4,368
20,0.009,6,1276,-9392,8,4,4,4,343
20,0.009,7,2943,-12789,8,4,4,4,354
20,0.009,8,592,-8070,8,4,4,3,289
20,0.009,9,484,-5875,6,3,3,1,190
20,0.009,0,878,-7662,7,3,4,2,316
20,0.009,1,1082,-8995,8,4,4,3,344
20,0.009,2,532,-7936,8,4,4,2,302
20,0.009,3,406,-5684,6,3,3,0,263
20,0.009,4,140,-3234,4,1,3,0,112
20,0.009,5,601,-7071,7,4,3,3,267
20,0.009,6,88,-141,1,1,0,0,82
20,0.009,7,240,-4432,5,2,3,1,95
20,0.009,8,300,-4505,5,2,3,0,197
20,0.009,9,120,-4192,5,3,2,0,92
20,0.009,0,237,-4395,5,3,2,1,163
20,0.009,1,346,-3611,4,3,1,0,203
20,0.009,2,736,-5387,5,3,2,1,265
20,0.009,3,124,-1205,2,2,0,0,89
20,0.009,4,90,-147,1,0,1,0,80
20,0.009,5,458,-6788,7,3,4,1,268
20,0.009,6,1076,-8018,7,4,3,3,318
20,0.009,7,498,-5876,6,4,2,1,272
20,0.009,8,34,946,0,0,0,0,29
20,0.009,9,1384,-8659,7,4,3,2,326
20,0.009,0,48,-1079,2,0,2,0,31
20,0.009,1,254,-3436,4,2,2,1,186
20,0.009,2,268,-4449,5,2,3,1,209
20,0.009,3,48,927,0,0,0,0,44
20,0.009,4,195,-3324,4,2,2,0,148
20,0.009,5,36,-2060,3,0,3,0,21
20,0.009,6,694,-8285,8,4,4,2,278
20,0.009,7,367,-3623,4,2,2,1,234
20,0.009,8,642,-6152,6,4,2,1,276
20,0.009,9,710,-7262,7,3,4,4,335
20,0.009,0,271,-3448,4,1,3,2,201
20,0.009,1,135,-2223,3,1,2,0,105
20,0.009,2,1818,-10507,8,4,4,3,354
20,0.009,3,66,-112,1,1,0,0,52
20,0.009,4,1098,-8077,7,3,4,3,305
20,0.009,5,80,-130,1,1,0,0,72
20,0.009,6,152,-1253,2,0,2,0,128
20,0.009,7,54,-1083,2,0,2,0,43
20,0.009,8,314,-5527,6,3,3,0,191
20,0.009,9,790,-8441,8,4,4,2,339
20,0.083,0,119,-16175,17,10,7,0,42
20,0.083,1,13,-1015,2,1,1,0,3
20,0.083,2,9,-12,1,0,1,0,3
20,0.083,3,11,-1014,2,1,1,0,2
20,0.083,4,208,-16368,17,11,6,3,52
20,0.083,5,1171,-50260,49,21,28,21,117
20,0.083,6,26,-2038,3,2,1,1,9
20,0.083,7,120,-10210,11,7,4,3,31
20,0.083,8,1213,-42355,41,20,21,18,122
20,0.083,9,41,-4051,5,3,2,0,14
20,0.083,0,18,-1025,2,2,0,0,7
20,0.083,1,284,-37442,38,19,19,8,81
20,0.083,2,46,-3070,4,1,3,1,19
20,0.083,3,693,-55224,55,28,27,23,146
20,0.083,4,32,-2043,3,0,3,0,12
20,0.083,5,11,-14,1,1,0,0,5
20,0.083,6,44,-4062,5,2,3,0,20
20,0.083,7,743,-56288,56,27,29,24,170
20,0.083,8,709,-46254,46,22,24,19,158
20,0.083,9,8,992,0,0,0,0,5
20,0.083,0,366,-33622,34,21,13,6,112
20,0.083,1,398,-35666,36,14,22,14,111
20,0.083,2,144,-22215,23,15,8,0,45
20,0.083,3,1111,-64058,63,30,33,27,194
20,0.083,4,118,-10192,11,6,5,1,44
20,0.083,5,53,-5083,6,4,2,0,23
20,0.083,6,833,-58482,58,30,28,19,164
20,0.083,7,1618,-63142,61,30,31,28,193
20,0.083,8,803,-47451,47,23,24,15,141
