Size,Prob,Run Number,moves,cost,Total Deaths,Deaths by Pit,Death by Wumpus,Domesticated Wumpi,Cells Explored
25,0.006,0,25,959,0,0,0,0,19
25,0.006,1,266,547,0,0,0,0,183
25,0.006,2,2333,-11480,8,4,4,3,567
25,0.006,3,1712,-10216,8,4,4,4,560
25,0.006,4,21,970,0,0,0,0,19
25,0.006,5,293,-2471,3,1,2,0,249
25,0.006,6,1047,-8882,8,4,4,3,505
25,0.006,7,27,958,0,0,0,0,19
25,0.006,8,17,976,0,0,0,0,15
25,0.006,9,91,855,0,0,0,0,87
25,0.006,0,113,-1177,2,1,1,0,97
25,0.006,1,120,800,0,0,0,0,115
25,0.006,2,308,-566,1,0,1,1,160
25,0.006,3,219,-2377,3,1,2,0,149
25,0.006,4,2593,-12029,8,4,4,4,562
25,0.006,5,925,-8666,8,4,4,1,416
25,0.006,6,113,-1171,2,1,1,0,98
25,0.006,7,386,-3636,4,3,1,1,304
25,0.006,8,1335,-8500,7,4,3,3,465
25,0.006,9,894,-7604,7,3,4,2,469
25,0.006,0,201,-1327,2,1,1,0,170
25,0.006,1,109,-167,1,0,1,0,93
25,0.006,2,63,-1099,2,0,2,1,52
25,0.006,3,620,-3092,3,1,2,1,387
25,0.006,4,932,-7699,7,4,3,1,412
25,0.006,5,479,-1805,2,1,1,0,355
25,0.006,6,372,-3620,4,3,1,0,310
25,0.006,7,1926,-10628,8,4,4,2,558
25,0.006,8,1072,-6963,6,3,3,3,532
25,0.006,9,238,-2397,3,2,1,0,207
25,0.006,0,354,-2593,3,2,1,0,297
25,0.006,1,580,-5009,5,2,3,0,372
25,0.006,2,439,-3758,4,1,3,0,317
25,0.006,3,161,-256,1,0,1,0,144
25,0.006,4,1064,-5932,5,3,2,2,478
25,0.006,5,300,-2501,3,1,2,1,235
25,0.006,6,113,-1180,2,1,1,1,91
25,0.006,7,467,-3801,4,3,1,0,336
25,0.006,8,500,-3873,4,2,2,0,302
25,0.006,9,342,-2604,3,2,1,0,206
25,0.006,0,303,-2494,3,2,1,0,232
25,0.006,1,80,-125,1,1,0,0,71
25,0.006,2,184,706,0,0,0,0,170
25,0.006,3,863,-8524,8,4,4,2,467
25,0.006,4,298,-3504,4,2,2,0,231
25,0.006,5,789,-5416,5,2,3,3,384
25,0.006,6,209,-2354,3,2,1,0,176
25,0.006,7,340,-3599,4,2,2,0,207
25,0.006,8,420,-3750,4,2,2,0,246
25,0.006,9,204,-332,1,1,0,0,184
25,0.083,0,11,-14,1,0,1,0,6
25,0.083,1,407,-38675,39,17,22,13,140
25,0.083,2,13,981,0,0,0,0,6
25,0.083,3,15,-24,1,0,1,0,8
25,0.083,4,18,-1028,2,1,1,0,9
25,0.083,5,16,-22,1,1,0,0,8
25,0.083,6,11,-14,1,0,1,0,6
25,0.083,7,13,981,0,0,0,0,6
25,0.083,8,32,-1049,2,1,1,0,14
25,0.083,9,13,-20,1,1,0,0,6
25,0.083,0,423,-45673,46,20,26,16,112
25,0.083,1,605,-57019,57,32,25,14,162
25,0.083,2,2865,-94574,90,45,45,43,288
25,0.083,3,388,-51593,52,27,25,8,122
25,0.083,4,1926,-84656,82,42,40,31,246
25,0.083,5,113,-12169,13,8,5,2,36
25,0.083,6,416,-46679,47,20,27,12,124
25,0.083,7,1627,-85012,83,44,39,27,251
25,0.083,8,682,-73100,73,37,36,19,199
25,0.083,9,366,-46557,47,25,22,11,98
25,0.083,0,11,-14,1,0,1,1,6
25,0.083,1,94,-11140,12,5,7,4,38
25,0.083,2,2013,-85902,83,43,40,31,244
25,0.083,3,1488,-85709,84,41,43,34,262
25,0.083,4,26,-4037,5,2,3,0,6
25,0.083,5,56,-2105,3,2,1,1,7
25,0.083,6,19,-2027,3,1,2,1,5
25,0.083,7,8,990,0,0,0,0,3
25,0.083,8,89,-9133,10,4,6,3,30
25,0.083,9,23,-3034,4,1,3,1,5
25,0.083,0,9,-11,1,0,1,0,3
25,0.083,1,5,992,0,0,0,0,2
25,0.083,2,25,-2033,3,1,2,0,9
25,0.083,3,17,-1024,2,0,2,1,6
25,0.083,4,10,-11,1,0,1,0,5
25,0.083,5,3629,-108045,102,51,51,49,309
25,0.083,6,5,992,0,0,0,0,2
25,0.083,7,844,-75454,75,37,38,23,226
25,0.083,8,5,992,0,0,0,0,2
25,0.083,9,41,-3062,4,0,4,1,24
25,0.083,0,1946,-102668,100,51,49,40,263
25,0.083,1,620,-67034,67,37,30,19,161
25,0.083,2,239,-23377,24,13,11,2,61
25,0.083,3,163,-13259,14,6,8,3,60
25,0.083,4,128,-7218,8,4,4,3,56
25,0.083,5,82,-10120,11,4,7,0,30
25,0.083,6,236,-24366,25,10,15,1,91
25,0.083,7,617,-58056,58,27,31,18,164
25,0.083,8,482,-37814,38,19,19,5,132
25,0.083,9,831,-74425,74,43,31,14,173
25,0.167,0,4781,-190651,182,91,91,87,171
25,0.167,1,4200,-195490,188,95,93,85,167
25,0.167,2,1946,-154714,152,77,75,66,126
25,0.167,3,531,-97821,98,48,50,31,84
25,0.167,4,1433,-134608,133,64,69,55,118
25,0.167,5,445,-65745,66,33,33,23,48
25,0.167,6,1764,-141315,139,66,73,58,133
25,0.167,7,200,-32323,33,15,18,13,32
25,0.167,8,2030,-150912,148,74,74,65,123
25,0.167,9,3074,-147320,142,70,72,60,121
25,0.167,0,3,997,0,0,0,0,0
25,0.167,1,2,998,0,0,0,0,0
25,0.167,2,3,997,0,0,0,0,0
25,0.167,3,2,998,0,0,0,0,0
25,0.167,4,2,998,0,0,0,0,0
25,0.167,5,2,998,0,0,0,0,0
25,0.167,6,3,997,0,0,0,0,0
25,0.167,7,2,998,0,0,0,0,0
25,0.167,8,3,997,0,0,0,0,0
25,0.167,9,2,998,0,0,0,0,0
25,0.25,0,3,-1003,1,1,0,0,0
25,0.25,1,3,-1004,1,1,0,0,0
25,0.25,2,3,-1004,1,1,0,0,0
25,0.25,3,3,-1004,1,1,0,0,0
25,0.25,4,3,-1004,1,1,0,0,0
25,0.25,5,3,-1004,1,1,0,0,0
25,0.25,6,3,-1003,1,1,0,0,0
25,0.25,7,3,-1003,1,1,0,0,0
25,0.25,8,3,-1004,1,1,0,0,0
25,0.25,9,3,-1003,1,1,0,0,0
25,0.25,0,3,-1003,1,1,0,0,0
25,0.25,1,3,-1003,1,1,0,0,0
25,0.25,2,3,-1004,1,1,0,0,0
25,0.25,3,3,-1003,1,1,0,0,0
25,0.25,4,3,-1004,1,1,0,0,0
25,0.25,5,3,-1004,1,1,0,0,0
25,0.25,6,3,-1003,1,1,0,0,0
25,0.25,7,3,-1003,1,1,0,0,0
25,0.25,8,3,-1004,1,1,0,0,0
25,0.25,9,3,-1004,1,1,0,0,0
