Size,Prob,Run Number,moves,cost,Total Deaths,Deaths by Pit,Death by Wumpus,Domesticated Wumpi,Cells Explored
10,0.03,0,59,-2091,3,1,2,0,38
10,0.03,1,37,941,0,0,0,0,25
10,0.03,2,45,-2069,3,1,2,1,28
10,0.03,3,258,-4474,5,2,3,1,60
10,0.03,4,78,-3117,4,2,2,0,49
10,0.03,5,62,-1105,2,2,0,0,31
10,0.03,6,53,917,0,0,0,0,38
10,0.03,7,27,-38,1,0,1,0,19
10,0.03,8,104,-1192,2,1,1,0,51
10,0.03,9,75,-3119,4,1,3,1,50
10,0.03,0,304,-4579,5,2,3,2,72
10,0.03,1,32,-2050,3,2,1,0,19
10,0.03,2,48,918,0,0,0,0,38
10,0.03,3,175,-1323,2,0,2,2,61
10,0.03,4,47,-2072,3,1,2,0,35
10,0.03,5,59,-3087,4,2,2,2,35
10,0.03,6,46,-2072,3,2,1,0,26
10,0.03,7,99,-4173,5,3,2,1,40
10,0.03,8,136,-2254,3,2,1,1,33
10,0.03,9,41,-67,1,0,1,0,33
10,0.03,0,147,-4236,5,2,3,2,64
10,0.03,1,32,948,0,0,0,0,18
10,0.03,2,1020,-7004,6,3,3,3,70
10,0.03,3,356,-5680,6,3,3,3,71
10,0.03,4,85,-3137,4,2,2,2,58
10,0.03,5,754,-6482,6,3,3,3,73
10,0.03,6,170,-3304,4,2,2,2,51
10,0.03,7,68,-2109,3,2,1,1,45
10,0.03,8,18,-29,1,0,1,0,9
10,0.03,9,209,-5379,6,3,3,2,65
10,0.03,0,235,-3442,4,1,3,3,61
10,0.03,1,46,-2075,3,1,2,0,33
10,0.03,2,24,-36,1,1,0,0,15
10,0.03,3,40,-2067,3,2,1,0,25
10,0.03,4,32,-1046,2,2,0,0,22
10,0.03,5,59,-1103,2,2,0,0,29
10,0.03,6,10,988,0,0,0,0,8
10,0.03,7,22,-1033,2,2,0,0,14
10,0.03,8,38,-54,1,1,0,0,25
10,0.03,9,30,-49,1,0,1,0,20
10,0.03,0,124,-3209,4,2,2,2,48
10,0.03,1,150,-2270,3,1,2,2,68
10,0.03,2,19,-28,1,1,0,0,12
10,0.03,3,75,-2132,3,2,1,0,39
10,0.03,4,89,-1173,2,2,0,0,35
10,0.03,5,53,-2077,3,1,2,0,29
10,0.03,6,71,-2117,3,2,1,0,40
10,0.03,7,73,-3114,4,2,2,1,47
10,0.03,8,144,-3262,4,3,1,0,44
10,0.03,9,577,-5152,5,3,2,2,71
10,0.082,0,177,-14317,15,8,7,6,40
10,0.082,1,16,-26,1,1,0,0,9
10,0.082,2,9,985,0,0,0,0,3
10,0.082,3,13,-1017,2,0,2,0,5
10,0.082,4,13,-1017,2,0,2,0,5
10,0.082,5,10,-15,1,0,1,0,3
10,0.082,6,41,-6056,7,3,4,3,11
10,0.082,7,172,-12306,13,6,7,3,43
10,0.082,8,23,-2036,3,1,2,1,7
10,0.082,9,37,-4051,5,3,2,0,17
10,0.082,0,16,-1021,2,1,1,0,5
10,0.082,1,92,-7153,8,4,4,3,24
10,0.082,2,103,-6185,7,4,3,3,28
10,0.082,3,87,-10126,11,6,5,2,34
10,0.082,4,100,-10150,11,5,6,4,38
10,0.082,5,262,-11513,12,7,5,3,41
10,0.082,6,93,-6153,7,3,4,1,34
10,0.082,7,89,-6146,7,5,2,1,38
10,0.082,8,47,-4070,5,2,3,2,19
10,0.082,9,153,-9279,10,5,5,4,38
10,0.082,0,61,-8086,9,6,3,1,15
10,0.082,1,16,-1024,2,2,0,0,4
10,0.082,2,16,-2021,3,2,1,0,3
10,0.082,3,149,-11254,12,7,5,5,38
10,0.082,4,32,-3050,4,3,1,1,11
10,0.082,5,20,-3028,4,2,2,0,4
10,0.082,6,44,-4065,5,3,2,1,16
10,0.082,7,236,-11454,12,6,6,5,38
10,0.082,8,20,-3028,4,3,1,0,4
10,0.082,9,69,-6101,7,3,4,2,30
10,0.082,0,26,-2034,3,1,2,0,7
10,0.082,1,580,-15154,15,8,7,7,47
10,0.082,2,376,-14723,15,8,7,7,41
10,0.082,3,120,-10192,11,5,6,4,32
10,0.082,4,270,-15489,16,8,8,7,43
10,0.082,5,176,-12302,13,7,6,5,33
10,0.082,6,29,-3040,4,1,3,0,10
10,0.082,7,105,-9165,10,5,5,3,30
10,0.082,8,176,-12310,13,6,7,6,36
10,0.082,9,44,-3069,4,2,2,0,16
10,0.082,0,347,-13669,14,8,6,5,44
10,0.082,1,342,-14637,15,8,7,6,48
10,0.082,2,302,-10563,11,5,6,6,45
10,0.082,3,119,-7195,8,3,5,3,36
10,0.082,4,249,-13455,14,8,6,5,49
10,0.082,5,242,-12449,13,7,6,5,49
10,0.082,6,693,-15402,15,8,7,7,54
10,0.082,7,419,-12804,13,7,6,6,52
10,0.082,8,23,-1029,2,0,2,1,10
10,0.082,9,78,-9124,10,8,2,1,26
10,0.163,0,134,-24204,25,12,13,9,18
10,0.163,1,84,-16127,17,9,8,4,7
10,0.163,2,75,-17100,18,8,10,4,10
10,0.163,3,149,-22230,23,11,12,11,26
10,0.163,4,85,-16117,17,10,7,4,12
10,0.163,5,82,-15126,16,9,7,4,8
10,0.163,6,254,-23475,24,10,14,13,30
10,0.163,7,179,-17326,18,8,10,8,23
10,0.163,8,94,-13147,14,6,8,5,18
10,0.163,9,47,-10062,11,5,6,2,6
10,0.163,0,45,-10056,11,3,8,5,5
10,0.163,1,12,-2011,3,1,2,1,2
10,0.163,2,13,-2016,3,0,3,1,2
10,0.163,3,25,-6024,7,1,6,3,3
10,0.163,4,40,-9046,10,2,8,4,5
10,0.163,5,41,-9051,10,2,8,4,7
10,0.163,6,36,-7042,8,1,7,4,6
10,0.163,7,38,-8047,9,2,7,4,6
10,0.163,8,12,-2011,3,1,2,1,2
10,0.163,9,39,-8046,9,1,8,4,7
10,0.163,0,380,-21745,22,12,10,10,30
10,0.163,1,294,-23537,24,13,11,10,31
10,0.163,2,31,-3047,4,3,1,1,8
10,0.163,3,244,-21441,22,12,10,9,27
10,0.163,4,44,-6060,7,4,3,1,10
10,0.163,5,388,-22772,23,12,11,9,28
10,0.163,6,37,-5051,6,4,2,1,9
10,0.163,7,36,-4055,5,4,1,1,8
10,0.163,8,59,-9086,10,7,3,1,12
